ModbusManager 1.0.8
20150624
Product: F1145, F1245
Database: 4446
Title;Info;ID;Unit;Size;Factor;Min;Max;Default;Mode
"EB103-EP14 Compr. time to start";"";43941;"";u8;1;0;0;0;R;
"EB103-EP14 Relay status";"";43942;"";u16;1;0;0;0;R;
"EB103-EP14 Heat med. pump status";"";43943;"";u8;1;0;0;0;R;
"EB103-EP14 Brine pump status";"";43944;"";u8;1;0;0;0;R;
"EB103-EP14 Compressor starts";"";43945;"";u32;1;0;9999999;0;R;
"EB103-EP14 Tot. op.time compr";"";43947;"h";u32;1;0;9999999;0;R;
"EB103-EP14 Tot. HW op.time compr";"";43949;"h";u32;1;0;9999999;0;R;
"EB103-EP14 Alarm number";"The value indicates the most severe current alarm";43951;"";u16;1;0;0;0;R;
"EB102 Version";"";43952;"";u16;1;0;0;0;R;
"EB102 Slave Type";"";43970;"";u8;1;0;0;0;R;
"EB102 Compressor Size";"";43971;"kW";u8;1;0;0;0;R;
"EB102-EP15-BT3 Return temp.";"Return temperature";43972;"°C";s16;10;0;0;0;R;
"EB102-EP15-BT10 Brine in temp";"";43973;"°C";s16;10;0;0;0;R;
"EB102-EP15-BT11 Brine out temp";"";43974;"°C";s16;10;0;0;0;R;
"EB102-EP15-BT12 Cond. out";"";43975;"°C";s16;10;0;0;0;R;
"EB102-EP15-BT14 Hot gas temp";"";43976;"°C";s16;10;0;0;0;R;
"EB102-EP15-BT15 Liquid line";"";43977;"°C";s16;10;0;0;0;R;
"EB102-EP15-BT17 Suction";"";43978;"°C";s16;10;0;0;0;R;
"EB102-EP15-BT29 Compr. Oil. temp.";"";43979;"°C";s16;10;0;0;0;R;
"EB102-EP15-BP8 Pressure transmitter";"";43980;"°C";s16;10;0;0;0;R;
"EB102-EP15 Compressor State";"";43981;"";u8;1;0;0;0;R;
"EB102-EP15 Compr. time to start";"";43982;"";u8;1;0;0;0;R;
"EB102-EP15 Relay status";"";43983;"";u16;1;0;0;0;R;
"EB102-EP15 Heat med. pump status";"";43984;"";u8;1;0;0;0;R;
"EB102-EP15 Brine pump status";"";43985;"";u8;1;0;0;0;R;
"EB102-EP15 Compressor starts";"";43986;"";u32;1;0;0;0;R;
"EB102-EP15 Tot. op.time compr";"";43988;"h";u32;1;0;0;0;R;
"EB102-EP15 Tot. HW op.time compr";"";43990;"h";u32;1;0;0;0;R;
"EB102-EP15 Alarm number";"The value indicates the most severe current alarm";43992;"";u16;1;0;0;0;R;
"EB102-EP14-BT3 Return temp.";"Return temperature";43993;"°C";s16;10;0;0;0;R;
"EB102-EP14-BT10 Brine in temp";"";43994;"°C";s16;10;0;0;0;R;
"EB102-EP14-BT11 Brine out temp";"";43995;"°C";s16;10;0;0;0;R;
"EB102-EP14-BT12 Cond. out";"";43996;"°C";s16;10;0;0;0;R;
"EB102-EP14-BT14 Hot gas temp";"";43997;"°C";s16;10;0;0;0;R;
"EB102-EP14-BT15 Liquid line";"";43998;"°C";s16;10;0;0;0;R;
"EB102-EP14-BT17 Suction";"";43999;"°C";s16;10;0;0;0;R;
"EB102-EP14-BT29 Compr. Oil. temp.";"";44000;"°C";s16;10;0;0;0;R;
"EB102-EP14-BP8 Pressure transmitter";"";44001;"°C";s16;10;0;0;0;R;
"EB102-EP14 Compressor State";"";44002;"";u8;1;0;0;0;R;
"EB102-EP14 Compr. time to start";"";44003;"";u8;1;0;0;0;R;
"EB102-EP14 Relay status";"";44004;"";u16;1;0;0;0;R;
"EB102-EP14 Heat med. pump status";"";44005;"";u8;1;0;0;0;R;
"EB102-EP14 Brine pump status";"";44006;"";u8;1;0;0;0;R;
"EB102-EP14 Compressor starts";"";44007;"";u32;1;0;9999999;0;R;
"EB102-EP14 Tot. op.time compr";"";44009;"h";u32;1;0;9999999;0;R;
"EB102-EP14 Tot. HW op.time compr";"";44011;"h";u32;1;0;9999999;0;R;
"EB102-EP14 Alarm number";"The value indicates the most severe current alarm";44013;"";u16;1;0;0;0;R;
"EB101 Version";"";44014;"";u16;1;0;0;0;R;
"EB101 Slave Type";"";44032;"";u8;1;0;0;0;R;
"EB101 Compressor Size";"";44033;"kW";u8;1;0;0;0;R;
"EB101-EP15-BT3 Return temp.";"Return temperature";44034;"°C";s16;10;0;0;0;R;
"EB101-EP15-BT10 Brine in temp";"";44035;"°C";s16;10;0;0;0;R;
"EB101-EP15-BT11 Brine out temp";"";44036;"°C";s16;10;0;0;0;R;
"EB101-EP15-BT12 Cond. out";"";44037;"°C";s16;10;0;0;0;R;
"EB101-EP15-BT14 Hot gas temp";"";44038;"°C";s16;10;0;0;0;R;
"EB101-EP15-BT15 Liquid line";"";44039;"°C";s16;10;0;0;0;R;
"EB101-EP15-BT17 Suction";"";44040;"°C";s16;10;0;0;0;R;
"EB101-EP15-BT29 Compr. Oil. temp.";"";44041;"°C";s16;10;0;0;0;R;
"EB101-EP15-BP8 Pressure transmitter";"";44042;"°C";s16;10;0;0;0;R;
"EB101-EP15 Compressor State";"";44043;"";u8;1;0;0;0;R;
"EB101-EP15 Compr. time to start";"";44044;"";u8;1;0;0;0;R;
"EB101-EP15 Relay status";"";44045;"";u16;1;0;0;0;R;
"EB101-EP15 Heat med. pump status";"";44046;"";u8;1;0;0;0;R;
"EB101-EP15 Brine pump status";"";44047;"";u8;1;0;0;0;R;
"EB101-EP15 Compressor starts";"";44048;"";u32;1;0;0;0;R;
"EB101-EP15 Tot. op.time compr";"";44050;"h";u32;1;0;0;0;R;
"EB101-EP15 Tot. HW op.time compr";"";44052;"h";u32;1;0;0;0;R;
"EB101-EP15 Alarm number";"The value indicates the most severe current alarm";44054;"";u16;1;0;0;0;R;
"EB101-EP14-BT3 Return temp.";"Return temperature";44055;"°C";s16;10;0;0;0;R;
"EB101-EP14-BT10 Brine in temp";"";44056;"°C";s16;10;0;0;0;R;
"EB101-EP14-BT11 Brine out temp";"";44057;"°C";s16;10;0;0;0;R;
"EB101-EP14-BT12 Cond. out";"";44058;"°C";s16;10;0;0;0;R;
"EB101-EP14-BT14 Hot gas temp";"";44059;"°C";s16;10;0;0;0;R;
"EB101-EP14-BT15 Liquid line";"";44060;"°C";s16;10;0;0;0;R;
"EB101-EP14-BT17 Suction";"";44061;"°C";s16;10;0;0;0;R;
"EB101-EP14-BT29 Compr. Oil. temp.";"";44062;"°C";s16;10;0;0;0;R;
"EB101-EP14-BP8 Pressure transmitter";"";44063;"°C";s16;10;0;0;0;R;
"EB101-EP14 Compressor State";"";44064;"";u8;1;0;0;0;R;
"EB101-EP14 Compr. time to start";"";44065;"";u8;1;0;0;0;R;
"EB101-EP14 Relay status";"";44066;"";u16;1;0;0;0;R;
"EB101-EP14 Heat med. pump status";"";44067;"";u8;1;0;0;0;R;
"EB101-EP14 Brine pump status";"";44068;"";u8;1;0;0;0;R;
"EB101-EP14 Compressor starts";"";44069;"";u32;1;0;9999999;0;R;
"EB101-EP14 Tot. op.time compr";"";44071;"h";u32;1;0;9999999;0;R;
"EB101-EP14 Tot. HW op.time compr";"";44073;"h";u32;1;0;9999999;0;R;
"EB101-EP14 Alarm number";"The value indicates the most severe current alarm";44075;"";u16;1;0;0;0;R;
"EB108-EP15 Prio";"Indicates what need is assigned to the compressor module, 0 = Off, 1 = Heat, 2 = Hot water, 3 = Pool 1, 4 = Pool2";44138;"";u8;1;0;0;0;R;
"EB108-EP14 Prio";"Indicates what need is assigned to the compressor module, 0 = Off, 1 = Heat, 2 = Hot water, 3 = Pool 1, 4 = Pool2";44139;"";u8;1;0;0;0;R;
"EB107-EP15 Prio";"Indicates what need is assigned to the compressor module, 0 = Off, 1 = Heat, 2 = Hot water, 3 = Pool 1, 4 = Pool2";44151;"";u8;1;0;0;0;R;
"EB107-EP14 Prio";"Indicates what need is assigned to the compressor module, 0 = Off, 1 = Heat, 2 = Hot water, 3 = Pool 1, 4 = Pool2";44152;"";u8;1;0;0;0;R;
"EB106-EP15 Prio";"Indicates what need is assigned to the compressor module, 0 = Off, 1 = Heat, 2 = Hot water, 3 = Pool 1, 4 = Pool2";44164;"";u8;1;0;0;0;R;
"EB106-EP14 Prio";"Indicates what need is assigned to the compressor module, 0 = Off, 1 = Heat, 2 = Hot water, 3 = Pool 1, 4 = Pool2";44165;"";u8;1;0;0;0;R;
"EB105-EP15 Prio";"Indicates what need is assigned to the compressor module, 0 = Off, 1 = Heat, 2 = Hot water, 3 = Pool 1, 4 = Pool2";44177;"";u8;1;0;0;0;R;
"EB105-EP14 Prio";"Indicates what need is assigned to the compressor module, 0 = Off, 1 = Heat, 2 = Hot water, 3 = Pool 1, 4 = Pool2";44178;"";u8;1;0;0;0;R;
"EB104-EP15 Prio";"Indicates what need is assigned to the compressor module, 0 = Off, 1 = Heat, 2 = Hot water, 3 = Pool 1, 4 = Pool2";44190;"";u8;1;0;0;0;R;
"EB104-EP14 Prio";"Indicates what need is assigned to the compressor module, 0 = Off, 1 = Heat, 2 = Hot water, 3 = Pool 1, 4 = Pool2";44191;"";u8;1;0;0;0;R;
"EB103-EP15 Prio";"Indicates what need is assigned to the compressor module, 0 = Off, 1 = Heat, 2 = Hot water, 3 = Pool 1, 4 = Pool2";44203;"";u8;1;0;0;0;R;
"EB103-EP14 Prio";"Indicates what need is assigned to the compressor module, 0 = Off, 1 = Heat, 2 = Hot water, 3 = Pool 1, 4 = Pool2";44204;"";u8;1;0;0;0;R;
"EB102-EP15 Prio";"Indicates what need is assigned to the compressor module, 0 = Off, 1 = Heat, 2 = Hot water, 3 = Pool 1, 4 = Pool2";44216;"";u8;1;0;0;0;R;
"EB102-EP14 Prio";"Indicates what need is assigned to the compressor module, 0 = Off, 1 = Heat, 2 = Hot water, 3 = Pool 1, 4 = Pool2";44217;"";u8;1;0;0;0;R;
"EB101-EP15 Prio";"Indicates what need is assigned to the compressor module, 0 = Off, 1 = Heat, 2 = Hot water, 3 = Pool 1, 4 = Pool2";44229;"";u8;1;0;0;0;R;
"EB101-EP14 Prio";"Indicates what need is assigned to the compressor module, 0 = Off, 1 = Heat, 2 = Hot water, 3 = Pool 1, 4 = Pool2";44230;"";u8;1;0;0;0;R;
"EB100-EP15 Prio";"Indicates what need is assigned to the compressor module, 0 = Off, 1 = Heat, 2 = Hot water, 3 = Pool 1, 4 = Pool2";44242;"";u8;1;0;0;0;R;
"EB100-EP14 Prio";"Indicates what need is assigned to the compressor module, 0 = Off, 1 = Heat, 2 = Hot water, 3 = Pool 1, 4 = Pool2";44243;"";u8;1;0;0;0;R;
"Cool Degree Minutes";"";44266;"";s16;10;-30000;30000;0;R/W;
"Calc. Cooling Supply Temperature S4";"";44267;"°C";s16;10;0;0;0;R;
"Calc. Cooling Supply Temperature S3";"";44268;"°C";s16;10;0;0;0;R;
"Calc. Cooling Supply Temperature S2";"";44269;"°C";s16;10;0;0;0;R;
"Calc. Cooling Supply Temperature S1";"";44270;"°C";s16;10;0;0;0;R;
"State ACS";"The state of the ACS accessory";44276;"";u8;1;0;0;0;R;
"State ACS heatdump";"The state of the heatdump in the ACS accessory";44277;"";u8;1;0;0;0;R;
"State ACS cooldump";"The state of the cooldump in the ACS accessory";44278;"";u8;1;0;0;0;R;
"Used cprs. HW";"The number of compressors that's currently producing hot water";44282;"";u8;1;0;0;0;R;
"Used cprs. heat";"The number of compressors that's currently producing heating";44283;"";u8;1;0;0;0;R;
"Used cprs. pool 1";"The number of compressors that's currently producing poolheating for pool 1";44284;"";u8;1;0;0;0;R;
"Used cprs. pool 2";"The number of compressors that's currently producing poolheating for pool 2";44285;"";u8;1;0;0;0;R;
"Accumulated Energy HW Cpr and Add";"";44298;"kWh";u32;10;0;9999999;0;R;
"Accumulated Energy Heat Cpr and Add";"";44300;"kWh";u32;10;0;9999999;0;R;
"Accumulated Energy Cooling Cpr";"";44302;"kWh";u32;10;0;9999999;0;R;
"Accumulated Energy Pool Cpr";"";44304;"kWh";u32;10;0;9999999;0;R;
"Accumulated Energy HW Cpr";"";44306;"kWh";u32;10;0;9999999;0;R;
"Accumulated Energy Heat Cpr";"";44308;"kWh";u32;10;0;9999999;0;R;
"Used cprs. cool";"The number of compressors that's currently producing active cooling";44320;"";u8;1;0;0;0;R;
"Software release";"";44331;"";u8;1;0;0;0;R;
"External Compressors";"Number of compressors with external control";44380;"";u8;1;0;0;0;R;
"EB108 Own Hot Water";"";44410;"";u8;1;0;0;0;R;
"EB108-BT6 Hot water load temp.";"";44411;"°C";s16;10;0;0;0;R;
"EB108-BT7 Hot water top temp.";"";44412;"°C";s16;10;0;0;0;R;
"EB108-BT2 Supply temp.";"";44413;"°C";s16;10;0;0;0;R;
"EB107 Own Hot Water";"";44416;"";u8;1;0;0;0;R;
"EB107-BT6 Hot water load temp.";"";44417;"°C";s16;10;0;0;0;R;
"EB107-BT7 Hot water top temp.";"";44418;"°C";s16;10;0;0;0;R;
"EB107-BT2 Supply temp.";"";44419;"°C";s16;10;0;0;0;R;
"EB106 Own Hot Water";"";44422;"";u8;1;0;0;0;R;
"EB106-BT6 Hot water load temp.";"";44423;"°C";s16;10;0;0;0;R;
"EB106-BT7 Hot water top temp.";"";44424;"°C";s16;10;0;0;0;R;
"EB106-BT2 Supply temp.";"";44425;"°C";s16;10;0;0;0;R;
"EB105 Own Hot Water";"";44428;"";u8;1;0;0;0;R;
"EB105-BT6 Hot water load temp.";"";44429;"°C";s16;10;0;0;0;R;
"EB105-BT7 Hot water top temp.";"";44430;"°C";s16;10;0;0;0;R;
"EB105-BT2 Supply temp.";"";44431;"°C";s16;10;0;0;0;R;
"EB104 Own Hot Water";"";44434;"";u8;1;0;0;0;R;
"EB104-BT6 Hot water load temp.";"";44435;"°C";s16;10;0;0;0;R;
"EB104-BT7 Hot water top temp.";"";44436;"°C";s16;10;0;0;0;R;
"EB104-BT2 Supply temp.";"";44437;"°C";s16;10;0;0;0;R;
"EB103 Own Hot Water";"";44440;"";u8;1;0;0;0;R;
"EB103-BT6 Hot water load temp.";"";44441;"°C";s16;10;0;0;0;R;
"EB103-BT7 Hot water top temp.";"";44442;"°C";s16;10;0;0;0;R;
"EB103-BT2 Supply temp.";"";44443;"°C";s16;10;0;0;0;R;
"EB102 Own Hot Water";"";44446;"";u8;1;0;0;0;R;
"EB102-BT6 Hot water load temp.";"";44447;"°C";s16;10;0;0;0;R;
"EB102-BT7 Hot water top temp.";"";44448;"°C";s16;10;0;0;0;R;
"EB102-BT2 Supply temp.";"";44449;"°C";s16;10;0;0;0;R;
"EB101 Own Hot Water";"";44452;"";u8;1;0;0;0;R;
"EB101-BT6 Hot water load temp.";"";44453;"°C";s16;10;0;0;0;R;
"EB101-BT7 Hot water top temp.";"";44454;"°C";s16;10;0;0;0;R;
"EB101-BT2 Supply temp.";"";44455;"°C";s16;10;0;0;0;R;
"Cool Compressors";"Number of compressors docked to cooling";44487;"";u8;1;0;0;0;R;
"Extra heating system pump S4";"";44744;"";u8;1;0;0;0;R;
"Extra heating system pump S3";"";44745;"";u8;1;0;0;0;R;
"Extra heating system pump S2";"";44746;"";u8;1;0;0;0;R;
"Pool 2 pump";"";44748;"";u8;1;0;0;0;R;
"Pool 1 pump";"";44749;"";u8;1;0;0;0;R;
"Passiv cool shunt";"";44753;"";u8;1;0;0;0;R;
"Passiv cool pool";"";44754;"";u8;1;0;0;0;R;
"State ground water pump";"";44756;"";u8;1;0;0;0;R;
"State SG Ready";"";44874;"";u8;1;0;0;0;R;
"SG Ready input A";"";44878;"";u8;1;0;0;0;R;
"SG Ready input B";"";44879;"";u8;1;0;0;0;R;
"Brine pump  dT act.";"Current value between set and act value on brine pumps";44910;"";s16;10;0;0;0;R;
"Brine pump  dT act.";"set point delta T for the brine pumps";44911;"";s16;10;0;0;0;R;
"Brine pump auto controlled";"Brine pump auto controlled";44912;"";s8;1;0;1;1;R;
"Alarm Number";"The value indicates the most severe current alarm";45001;"";s16;1;0;0;0;R;
"Floor drying timer";"";47291;"hrs";u16;1;0;10000;0;R;
"Step controlled add. max. step";"Maximum number of steps allowed in step controlled add.";47325;"";u8;1;0;7;3;R;
"Heat curve S4";"Heat curve to use see manual for the different curves.";47004;"";s8;1;0;15;9;R/W;
"Heat curve S3";"Heat curve to use see manual for the different curves.";47005;"";s8;1;0;15;9;R/W;
"Heat curve S2";"Heat curve to use see manual for the different curves.";47006;"";s8;1;0;15;9;R/W;
"Heat curve S1";"Heat curve to use see manual for the different curves.";47007;"";s8;1;0;15;9;R/W;
"Offset S4";"Offset of the heat curve";47008;"";s8;1;-10;10;0;R/W;
"Offset S3";"Offset of the heat curve";47009;"";s8;1;-10;10;0;R/W;
"Offset S2";"Offset of the heat curve";47010;"";s8;1;-10;10;0;R/W;
"Offset S1";"Offset of the heat curve";47011;"";s8;1;-10;10;0;R/W;
"Min Supply System 4";"";47012;"°C";s16;10;50;700;200;R/W;
"Min Supply System 3";"";47013;"°C";s16;10;50;700;200;R/W;
"Min Supply System 2";"";47014;"°C";s16;10;50;700;200;R/W;
"Min Supply System 1";"";47015;"°C";s16;10;50;700;200;R/W;
"Max Supply System 4";"";47016;"°C";s16;10;50;700;600;R/W;
"Max Supply System 3";"";47017;"°C";s16;10;50;700;600;R/W;
"Max Supply System 2";"";47018;"°C";s16;10;50;700;600;R/W;
"Max Supply System 1";"";47019;"°C";s16;10;50;700;600;R/W;
"Own Curve P7";"User defined curve point";47020;"°C";s8;1;0;80;15;R/W;
"Own Curve P6";"User defined curve point";47021;"°C";s8;1;0;80;15;R/W;
"Own Curve P5";"User defined curve point";47022;"°C";s8;1;0;80;26;R/W;
"Own Curve P4";"User defined curve point";47023;"°C";s8;1;0;80;32;R/W;
"Own Curve P3";"User defined curve point";47024;"°C";s8;1;0;80;35;R/W;
"Own Curve P2";"User defined curve point";47025;"°C";s8;1;0;80;40;R/W;
"Own Curve P1";"User defined curve point";47026;"°C";s8;1;0;80;45;R/W;
"Point offset outdoor temp.";"Outdoor temperature point where the heat curve is offset";47027;"°C";s8;1;-40;30;0;R/W;
"Point offset";"Amount of offset at the point offset temperature";47028;"°C";s8;1;-10;10;0;R/W;
"External adjustment S4";"Change of the offset of the heat curve when closing the external adjustment input";47029;"";s8;1;-10;10;0;R/W;
"External adjustment S3";"Change of the offset of the heat curve when closing the external adjustment input";47030;"";s8;1;-10;10;0;R/W;
"External adjustment S2";"Change of the offset of the heat curve when closing the external adjustment input";47031;"";s8;1;-10;10;0;R/W;
"External adjustment S1";"Change of the offset of the heat curve when closing the external adjustment input";47032;"";s8;1;-10;10;0;R/W;
"External adjustment with room sensor S4";"Room temperature setting when closing the external adjustment input";47033;"°C";s16;10;50;300;200;R/W;
"External adjustment with room sensor S3";"Room temperature setting when closing the external adjustment input";47034;"°C";s16;10;50;300;200;R/W;
"External adjustment with room sensor S2";"Room temperature setting when closing the external adjustment input";47035;"°C";s16;10;50;300;200;R/W;
"External adjustment with room sensor S1";"Room temperature setting when closing the external adjustment input";47036;"°C";s16;10;50;300;200;R/W;
"Hot water mode";" 0=Economy 1=Normal 2=Luxury";47041;"";s8;1;0;2;1;R/W;
"Start temperature HW Luxury";"Start temperature for heating water";47043;"°C";s16;10;50;700;470;R/W;
"Start temperature HW Normal";"Start temperature for heating water";47044;"°C";s16;10;50;700;450;R/W;
"Start temperature HW Economy";"Start temperature for heating water";47045;"°C";s16;10;50;700;380;R/W;
"Stop temperature Periodic HW";"Temperature where hot water generation will stop";47046;"°C";s16;10;550;700;550;R/W;
"Stop temperature HW Luxury";"Temperature where hot water generation will stop";47047;"°C";s16;10;50;700;520;R/W;
"Stop temperature HW Normal";"Temperature where hot water generation will stop";47048;"°C";s16;10;50;700;500;R/W;
"Stop temperature HW Economy";"Temperature where hot water generation will stop";47049;"°C";s16;10;50;700;430;R/W;
"Periodic HW";"Activates the periodic hot water generation";47050;"";s8;1;0;1;1;R/W;
"Periodic HW Interval";"Interval between Periodic hot water sessions";47051;"days";s8;1;1;90;14;R/W;
"Run time HWC";"Run time for the hot water circulation system";47054;"min";s8;1;1;60;60;R/W;
"Still time HWC";"Still time for the hot water circulation system";47055;"min";s8;1;0;60;0;R/W;
"Language";"Display language in the heat pump 0=English 1=Svenska 2=Deutsch 3=Francais 4=Espanol 5=Suomi 6=Lietuviu 7=Cesky 8=Polski 9=Nederlands 10=Norsk 11=Dansk 12=Eesti 13=Latviesu 16=Magyar";47131;"";s8;1;0;21;0;R/W;
"Period HW";"";47134;"min";u8;1;0;180;60;R/W;
"Period Heat";"";47135;"min";u8;1;0;180;0;R/W;
"Period Pool";"";47136;"min";u8;1;0;180;0;R/W;
"Operational mode heat medium pump";" 10=Intermittent 20=Continous 30=Economy 40=Auto";47138;"";u8;1;10;40;40;R/W;
"Operational mode brine medium pump";" 10=Intermittent 20=Continuous 30=Economy 40=Auto";47139;"";u8;1;10;30;10;R/W;
"DM start heating";"The value the degree minutes needed to be reached for the pump to start heating";47206;"";s16;1;-1000;-30;-60;R/W;
"DM start cooling";"The value the degree minutes needed to be reached for the pump to start cooling";47207;"";s16;1;0;0;0;R/W;
"DM start add.";"The value the degree minutes needed to be reached for the pump to start electric addition";47208;"";s16;1;0;0;0;R/W;
"DM between add. steps";"The number of degree minutes between start of each electric addition step";47209;"";s16;1;0;0;0;R/W;
"DM start add. with shunt";"";47210;"";s16;1;-2000;-30;-400;R/W;
"Max int add. power";"";47212;"kW";s16;100;0;4500;600;R/W;
"Fuse";"Size of the fuse that the HP is connected to";47214;"A";u8;1;1;200;16;R/W;
"Exhaust Fan speed 4";"";47261;"%";u8;1;0;100;100;R/W;
"Exhaust Fan speed 3";"";47262;"%";u8;1;0;100;80;R/W;
"Exhaust Fan speed 2";"";47263;"%";u8;1;0;100;30;R/W;
"Exhaust Fan speed 1";"";47264;"%";u8;1;0;100;0;R/W;
"Exhaust Fan speed normal";"";47265;"%";u8;1;0;100;65;R/W;
"Fan return time 4";"Time from a changed fan speed until it returns to normal speed";47271;"h";u8;1;1;99;4;R/W;
"Fan return time 3";"Time from a changed fan speed until it returns to normal speed";47272;"h";u8;1;1;99;4;R/W;
"Fan return time 2";"Time from a changed fan speed until it returns to normal speed";47273;"h";u8;1;1;99;4;R/W;
"Fan return time 1";"Time from a changed fan speed until it returns to normal speed";47274;"h";u8;1;1;99;4;R/W;
"Filter Reminder period";"Time between the reminder of filter replacement/cleaning.";47275;"Months";u8;1;1;24;3;R/W;
"Floor drying";" 0=Off 1=On";47276;"";u8;1;0;1;0;R/W;
"Floor drying period 7";"Days each period is active";47277;"days";u8;1;0;30;2;R/W;
"Floor drying period 6";"Days each period is active";47278;"days";u8;1;0;30;2;R/W;
"Floor drying period 5";"Days each period is active";47279;"days";u8;1;0;30;2;R/W;
"Floor drying period 4";"Days each period is active";47280;"days";u8;1;0;30;3;R/W;
"Floor drying period 3";"Days each period is active";47281;"days";u8;1;0;30;2;R/W;
"Floor drying period 2";"Days each period is active";47282;"days";u8;1;0;30;2;R/W;
"Floor drying period 1";"Days each period is active";47283;"days";u8;1;0;30;2;R/W;
"Floor drying temp. 7";"Supply temperature each period";47284;"°C";u8;1;15;70;20;R/W;
"Floor drying temp. 6";"Supply temperature each period";47285;"°C";u8;1;15;70;30;R/W;
"Floor drying temp. 5";"Supply temperature each period";47286;"°C";u8;1;15;70;40;R/W;
"Floor drying temp. 4";"Supply temperature each period";47287;"°C";u8;1;15;70;45;R/W;
"Floor drying temp. 3";"Supply temperature each period";47288;"°C";u8;1;15;70;40;R/W;
"Floor drying temp. 2";"Supply temperature each period";47289;"°C";u8;1;15;70;30;R/W;
"Floor drying temp. 1";"Supply temperature each period";47290;"°C";u8;1;15;70;20;R/W;
"Climate system 2 accessory";"Activates the climate system 2 accessory 0=Off 1=On";47302;"";u8;1;0;1;0;R/W;
"Climate system 3 accessory";"Activates the climate system 3 accessory 0=Off 1=On";47303;"";u8;1;0;1;0;R/W;
"Climate system 4 accessory";"Activates the climate system 4 accessory 0=Off 1=On";47304;"";u8;1;0;1;0;R/W;
"Climate system 4 mixing valve amp.";"Mixing valve amplification for extra climate systems";47305;"";s8;10;1;100;10;R/W;
"Climate system 3 mixing valve amp.";"Mixing valve amplification for extra climate systems";47306;"";s8;10;1;100;10;R/W;
"Climate system 2 mixing valve amp.";"Mixing valve amplification for extra climate systems";47307;"";s8;10;1;100;10;R/W;
"Climate system 4 shunt wait";"Wait time between changes of the shunt in extra climate systems";47308;"secs";s16;10;10;300;30;R/W;
"Climate system 3 shunt wait";"Wait time between changes of the shunt in extra climate systems";47309;"secs";s16;10;10;300;30;R/W;
"Climate system 2 shunt wait";"Wait time between changes of the shunt in extra climate systems";47310;"secs";s16;10;10;300;30;R/W;
"FLM pump";"Operating mode for the FLM pump 0=Off 1=On";47312;"";u8;1;0;1;0;R/W;
"FLM defrost";"Minimum time between defrost in FLM";47313;"hrs";u8;1;1;30;10;R/W;
"Shunt controlled add. accessory";"Activates the shunt controlled addition accessory 0=Off 1=On";47317;"";u8;1;0;1;0;R/W;
"Shunt controlled add. min. temp.";"";47318;"°C";s8;1;5;90;55;R/W;
"Shunt controlled add. min. runtime";"";47319;"hrs";u8;1;0;48;12;R/W;
"Shunt controlled add. mixing valve amp.";"Mixing valve amplification for shunt controlled add.";47320;"";s8;10;1;100;10;R/W;
"Shunt controlled add. mixing valve wait";"Wait time between changes of the shunt in shunt controlled add.";47321;"secs";s16;1;10;300;30;R/W;
"Step controlled add. accessory";"Activates the step controlled addition accessory 0=Off 1=On";47322;"";u8;1;0;1;0;R/W;
"Step controlled add. start DM";"DM where the first step of step controlled add. starts";47323;"";s16;1;-2000;-30;-400;R/W;
"Step controlled add. diff. DM";"Difference in DM of each step in the step controlled add.";47324;"";s16;1;0;1000;100;R/W;
"Step controlled add. mode";"Binary or linear stepping method. 0=Linear 1=Binary";47326;"";u8;1;0;1;0;R/W;
"Ground water pump accessory";"Ground water pump using AXC40 0=Off 1=On";47327;"";u8;1;0;1;0;R/W;
"Cooling 2-pipe accessory";"Activates the 2-pipe cooling accessory 0=Off 1=On";47329;"";u8;1;0;1;0;R/W;
"Cooling 4-pipe accessory";"Activates the 4-pipe cooling accessory 0=Off 1=On";47330;"";u8;1;0;1;0;R/W;
"Time betw. switch heat/cool";"Time between switching from heating to cooling or vice versa.";47335;"h";s8;1;0;48;2;R/W;
"Heat at room under temp.";"This value indicates how many degrees under set room temp heating will be allowed";47336;"°C";s8;10;5;100;10;R/W;
"Cool at room over temp.";"This value indicates how many degrees over set room temp cooling will be allowed";47337;"°C";s8;10;5;100;10;R/W;
"Cooling mix. valve amp.";"Mixing valve amplification for the cooling valve";47338;"";s8;10;1;100;10;R/W;
"Cooling mix. valve step delay";"";47339;"s";s16;1;10;300;30;R/W;
"Cooling with room sensor";"Enables use of room sensor together with cooling 0=Off 1=On";47340;"";u8;10;0;1;0;R/W;
"HPAC accessory";"Activates the HPAC accessory";47341;"";u8;1;0;1;0;R/W;
"Start Passive Cooling DM";"Value the degree minutes have to reach to start passive cooling";47342;"";s16;1;10;500;30;R/W;
"Start Active Cooling DM";"Value the degree minutes have to reach to start active cooling";47343;"";s16;1;30;300;90;R/W;
"SMS40 accessory";"Activates the SMS40 accessory";47352;"";u8;1;0;1;0;R/W;
"RMU System 1";"Activates the RMU accessory for system 1";47365;"";u8;1;0;1;0;R/W;
"RMU System 2";"Activates the RMU accessory for system 2";47366;"";u8;1;0;1;0;R/W;
"RMU System 3";"Activates the RMU accessory for system 3";47367;"";u8;1;0;1;0;R/W;
"RMU System 4";"Activates the RMU accessory for system 4";47368;"";u8;1;0;1;0;R/W;
"Allow Additive Heating";"Whether to allow additive heating (only valid for operational mode Manual)";47370;"";u8;1;0;1;1;R/W;
"Allow Heating";"Whether to allow heating (only valid for operational mode Manual or Add. heat only)";47371;"";u8;1;0;1;1;R/W;
